NORTHING,EASTING,BEARING,DISTANCE,DEGREE,RADIUS,BACK,FORWARD,PARENT_ID,ID
,,,,,,,50000,,Sugar Grove Road
-706.107527295728,605.237275699633,139.3986,930,,670,,,,
-676.484010996592,2455.00008408401,89.0825,1850,,670,,,,
-2356.39769654456,2437.97043028129,180.5808,1680,,670,,,,
-2829.69045164815,2874.76763067348,137.29639,644.048,,0,,,,
-641.542,632.8773,,,,,,1000,,Penrose Road W
,,,,,,50909,1000,Sugar Grove Road,
-707.541739849086,493.629607922706,244.64028,154.097,,175,,,,
-707.541739849086,-65.3963920772944,270,559.026,,0,,,,
-662.4901,2900.3838,,,,,,2000,,Penrose Road E
,,,,,,52586.22,3008.866,Sugar Grove Road,
-662.4901,2470.7258,270,429.658,,175,,,,
-883.2349,2247.23112780924,224.9725,312.032,,0,,,,
