BEARING,NORTHING,EASTING,RADIUS,DISTANCE,ID,PARENT_ID,BACK,FORWARD
,0,0,,,Mainline,,,113050
,,,,,,,148292.43,0
,,,0,0,,,,
87.64805556,,,1008.7,1791.416859,,,,
38.83861111,,,2000,613.7386026,,,,
29.91444444,,,3800,2466.731841,,,,
349.2408333,,,2300,1867.764662,,,,
359.3480556,,,4000,643.452579,,,,
6.169166667,,,2000,559.8602734,,,,
24.43222222,,,1585.53,990.2138983,,,,
355.0911111,,,3600,1320.838479,,,,
12.97499999,,,6000,2126.327426,,,,
26.87444444,,,3500,1017.510108,,,,
36.22222222,,,4000,3457.068882,,,,
41.205,,,10000,516.0634721,,,,
38.34055556,,,2000,1218.168726,,,,
58.22361111,,,3814.39,1578.688482,,,,
72.32277778,,,2257.87,1174.118968,,,,
106.8844444,,,2815,1875.903176,,,,
69.04861111,,,1520,3467.460005,,,,
36.84138889,,,2100,917.2014913,,,,
43.68,,,2500,2815.151589,,,,
83.66333333,,,3375,1726.118739,,,,
64.14111111,,,2293.84,2294.867597,,,,
80.68944444,,,6000,3999.045104,,,,
88.11611111,,,1800,776.0678555,,,,
77.9325,,,1800,718.3420265,,,,
62.48416667,,,20000,497.5683627,,,,
63.93611111,,,2883.78,1413.070865,,,,
50.4225,,,3375,1792.196827,,,,
84.83444444,,,3687.8,3056.256401,,,,
66.91583333,,,3400,2329.312532,,,,
33.68861111,,,4656.43,1811.674163,,,,
38.27138889,,,2855.9299,764.0416766,,,,
26.60138889,,,4000,1265.204375,,,,
45.32194444,,,7200,1198.102444,,,,
53.88055555,,,4149.52,1217.285038,,,,
42.37416667,,,950,916.4121979,,,,
66.64361111,,,0,425.2646071,,,,
,,,0,,Union St,IL 2,113214.23,40000
,,,,,,,,40000
357.5391667,,,0,430,,,,
,,,0,,Ogle St,IL 2,113214.23,126433.69
,,,,,,,,126433.69
177.5391667,,,0,724.3802,,,,
,,,0,,Chestnut St,IL 2,113653.6592,42000
,,,,,,,,41785.66
357.3955556,,,0,627.6679,,,,
,,,0,,Market St,IL 2,114094.9939,44000
,,,,,,,,43803.25
357.2841667,,,0,599.2619,,,,
,,,0,,Peru St,IL 2,114530.1275,46000
,,,,,,,,45792.11
356.7163889,,,0,207.8916,,,,
,,,0,,E 3rd St,IL 2,115950.62,47014.35
,,,,,,,,46549.82
86.65333333,,,0,464.5329,,,,
,,,0,,Kysor Dr,IL 2,115974.23,48014.2
,,,,,,,,48014.2
87.57722222,,,0,455.3657,,,,
88.18638889,,,0,545.2175,,,,
,,,0,,Luther Dr,IL 2,116708.83,51000
,,,,,,,,50432.84
122.2963889,,,0,567.1632,,,,
,,,0,,Old State Rd,IL 2,118014.32,52000
,,,,,,,,51472.43
89.62861111,,,0,527.5677,,,,
,,,0,,Ashelford Dr,IL 2,118841.45,53000
,,,,,,,,53000
84.21916667,,,150,113.9944609,,,,
144.3802778,,,0,804.9156609,,,,
,,,0,,River Dr S,IL 2,119786.59,54000
,,,,,,,,54000
89.07583333,,,0,402.1318,,,,
,,,0,,Mobile Home Access Road,River Dr S,54148,1000
,,,,,,,,1000
359.0758333,,,30,69,,,,
269.0758333,,,30,104.8928749,,,,
359.3480556,,,30,236.9399825,,,,
86.30416667,,,25,104.6366996,,,,
179.0758333,,,200,212.9609166,,,,
186.6686111,,,0,42.98132463,,,,
,,,0,,River Dr N Connector,IL 2,120946.6,55000
,,,,,,,,55000
111.5105556,,,0,171.92,,,,
,,,0,,River Dr N,River Dr N Connector,55171.92,4998.07
,,,,,,,,4687.89
357.8197222,,,948.97,310.1730796,,,,
347.065,,,0,242.4586796,,,,
,,,0,,Lake Entrance,IL 2,120946.6,55000
,,,,,,,,55000
291.5105556,,,0,132.9,,,,
,,,0,,Kennedy Rd,IL 2,126049.05,60003.34
,,,,,,,,60003.34
328.1911111,,,800,337.917195,,,,
4.701944444,,,0,1157.208195,,,,
,,,0,,Frontage Rd Connector,IL 2,137115.5597,60040
,,,,,,,,60040
159.0483333,,,0,144.48,,,,
,,,0,,Merdi Rd,IL 2,148292.43,62000
,,,,,,,,62000
358.0888889,,,0,1312.4904,,,,
,,,0,,Gold River Ave N,IL 2,2541.35,63000
,,,,,,,,62700
0.418333333,,,0,208.4648,,,,
,,,0,,Gold River Ave S,IL 2,2541.35,63000
,,,,,,,,62700
0.418333333,,,0,300,,,,
,,,0,,Lake Ave,IL 2,2969.26,64000
,,,,,,,,64000
359.6530556,,,0,300,,,,
,,,0,,Willow Trail,IL 2,3436.72,65000
,,,,,,,,64800
357.8552778,,,0,200,,,,
,,,0,,Antler Trail,IL 2,3700,66000
,,,,,,,,66000
22.68638889,,,0,200,,,,
,,,0,,Silver Creek Rd S,IL 2,4091.07,67000
,,,,,,,,66585.01
352.9947222,,,0,441.9881,,,,
,,,0,,Silver Creek Rd N,IL 2,6141.58,68000
,,,,,,,,67762.37
331.5819444,,,1500,142.0858944,,,,
334.8425,,,0,95.57279442,,,,
,,,0,,Prairie Rd S,IL 2,8117.55,30000
,,,,,,,,29700
341.4019444,,,4000,165.8368233,,,,
338.5352778,,,0,134.1964233,,,,
,,,0,,Prairie Rd N,IL 2,8117.55,163911.98
,,,,,,,,163911.98
353.62,,,1600,115.6538,,,,
359.085,,,0,450.347,,,,
,,,0,,Entrance,IL 2,20144.09,40000
,,,,,,,,40000
314.5891667,,,50,189.7434364,,,,
83.35722222,,,85,192.8701112,,,,
53.5825,,,35,77.27015004,,,,
344.7636111,,,0,87.80347524,,,,
