id,IL 2,,,,,deg_dec,curve_len,tan_len,,,,
sta_eq,148292.43,0,,,,,,,,,,
113050,1333.75,NE,87,38,53.2538,87.64812606,,1333.75,,1333.75,0,
114383.75,1008.7,L,48,48,34,48.80944444,859.2969156,,,,,
115243.04,2000,L,8,55,27,8.924166667,311.5121827,,,,,
115554.55,902.2217,NE,29,54,52.3658,29.91454606,,902.2217,,902.23,0.0083,
116456.78,3800,L,40,40,25,40.67361111,2697.576044,,,,,
119154.36,255.9336,NW,10,45,33,10.75916667,,255.9336,,255.93,-0.0036,
119410.29,2300,R,10,6,26,10.10722222,405.7299038,,,,,
119816.03,201.6766,NW,0,39,6.8375,0.651899306,,201.6766,,201.67,-0.0066,
120017.7,4000,R,6,49,16,,,,,,,
120493.91,2000,R,2,51,53,,,,,,,
121131.4,253.6517,NE,24,25,55.6296,,4274.115046,2693.5819,6967.696946,253.65,-0.0017,
121385.05,1585.53,L,29,20,28,,,,6967.7,,,
122297.01,339.3079,NW,4,54,32.4702,,,,-0.003054199,239.3,-100.0079,
122536.31,3600,R,17,53,3,,,,,,,
123660.01,828.5186,NE,12,58,30.3747,,,,,828.51,-0.0086,
124488.52,6000,R,13,53,58,,,,,,,
125944.07,3500,R,9,20,51,,,,,,,
126516.09,2997.8808,NE,36,13,19.8817,,,,,2996.88,-1.0008,
129512.97,4000,R,4,58,58,,,,,,,
129860.83,92,NE,41,12,18.045,,,,,92,0,
129952.83,10000,L,2,51,52,,,,,,,
130452.79,617.5969,NE,38,20,25.7454,,,,,617.6,0.0031,
131070.39,2000,R,19,52,59,,,,,,,
131764.44,756.4394,NE,58,13,24.8898,,,,,756.44,0.0006,
132520.88,3814.39,R,14,5,57,,,,,,,
133459.51,2257.87,R,34,33,42,,,,,,,
134821.49,208.71,SE,73,6,56.345,,,,,208.71,0,
135030.2,2815,L,37,50,9,,,,,,,136889.11
136889.11,1423.3513,NE,69,2,54.5005,,,,,1996.44,573.0887,
138885.55,1520,L,36,50,28,,,,,,,
139862.91,200,NE,32,12,26.4411,,,,,200,0,
140062.91,2100,R,11,28,22,,,,,,,
140483.4,1694.6828,NE,43,40,48.2096,,,,,1694.69,0.0072,
142178.09,2500,R,39,59,0,,,,,,,
143922.68,236,NE,83,39,47.9179,,,,,236,0,
144158.68,3375,L,19,31,20,,,,,,,
145308.64,1380.6838,NE,64,8,27.9815,,,,,1380.68,-0.0038,
146689.32,2293.84,R,16,32,54,,,,,,,
147351.83,940.6015,NE,80,41,21.8891,,,,,940.6,-0.0015,
0,2335.46,NE,80,41,21.8891,,,,,,,
2335.46,6000,R,7,25,36,,,,,,,
311317,226.2769,NE,88,6,57.6943,,,,,,,
3539.45,1800,L,10,11,1,,,,,,,
3659.38,313.8131,NE,77,55,56.8855,,,,,,,
3973.19,1800,L,15,26,54,,,,,,,
4458.51,20000,R,1,27,7,,,,,,,
4965.36,817.98,NE,63,56,10.2388,,,,,,,
5783.34,2883.78,L,13,30,49,,,,,,,
6463.51,405.4091,NE,50,25,20.8796,,,,,,,
6868.92,3375,R,34,24,43,,,,,,,
8895.94,1429.7284,NE,84,50,3.7483,,,,,,,
10325.67,3687.8,L,17,55,7,,,,,,,
11478.98,733.4435,NE,66,54,57.1901,,,,,,,
12214.42,3400,L,33,13,38,,,,,,,
14184.17,610.89,NE,33,41,19.0469,,,,,,,
14795.06,4656.43,R,4,34,58,,,,,,,
15167.51,285.8636,NE,38,16,17.3733,,,,,,,
15453.37,2855.9299,L,11,40,12,,,,,,,
16035.07,314,NE,26,36,5.08754,,,,,,,
16349.07,4000,R,18,43,14,,,,,,,
17656.01,7200,R,8,33,30,,,,,,,
18731.5,260.4611,NE,53,52,49.5475,,,,,,,
18991.96,4149.52,L,11,30,23,,,,,,,
19825.28,294.0792,NE,42,22,26.789,,,,,,,
20119.36,950,R,24,16,10,,,,,,,
20521.76,221,NE,66,38,36.9943,,,,,,,
id,Union St,,,,,,,,,,,
location,40000,113214.23,IL 2,,,,,,,,,
40000,430,NW,2,27,39.2519,,,,,,,
id,IL 72,,,,,,,,,,,
location,126433.69,113214.23,IL 2,,,,,,,,,
126433.69,724.3802,SE,2,27,39.2519,,,,,,,
id,Chestnut St,,,,,,,,,,,
location,42000,113653.6592,IL 2,,,,,,,,,
41785.66,627.6679,NW,2,36,16.488,,,,,,,
id,Market St,,,,,,,,,,,
location,44000,114094.9939,IL 2,,,,,,,,,
43803.25,599.2619,NW,2,42,56.6138,,,,,,,
id,Peru St,,,,,,,,,,,
location,46000,114530.1275,IL 2,,,,,,,,,
45792.11,207.8916,NW,3,17,1.3843,,,,,,,
id,E 3rd St,,,,,,,,,,,
location,47014.35,115950.62,IL 2,,,,,,,,,
46549.82,464.5329,NE,86,39,11.7755,,,,,,,
id,Kysor Dr,,,,,,,,,,,
location,48014.2,115974.23,IL 2,,,,,,,,,
48014.2,455.3657,NE,87,34,37.4977,,,,,,,
48469.57,545.2175,NE,88,11,11.0129,,,,,,,
id,Luther Dr,,,,,,,,,,,
location,51000,116708.83,IL 2,,,,,,,,,
50432.84,567.1632,SE,57,42,13.2578,,,,,,,
id,Old State Rd,,,,,,,,,,,
location,52000,118014.32,IL 2,,,,,,,,,
51472.43,527.5677,NE,89,37,42.7519,,,,,,,
id,Ashelford Dr,,,,,,,,,,,
location,53000,118841.45,IL 2,,,,,,,,,
53000,27.1105,NE,84,13,8.6304,84.219064,,,,,,
53027.11,150,R,38,11,50,38.19722222,,,,,,
53184.61,718.0317,SE,35,37,10.5995,35.61961097,,,,,,
id,River Dr S,,,,,,,,,,,
location,54000,119786.59,IL 2,,,,,,,,,
54000,402.1318,NE,89,4,33.1304,,,,,,,
