,BEARING,NORTHING,EASTING,RADIUS,DISTANCE,ID,PARENT_ID,BACK,FORWARD,SPIRAL
,,0,0,,,Mainline,,,113050,
,,,,,,,,148292.43,0,
114383.75,87.64805556,,,1008.7,1791.416859,,,,,
115243.04,38.83861111,,,2000,613.7386026,,,,,
116456.78,29.91444444,,,3800,2466.731841,,,,,
119410.29,349.2408333,,,2300,1867.764662,,,,,
120017.7,359.3480556,,,4000,643.452579,,,35242.43,,
120493.91,6.169166667,,,2000,559.8602734,,,20742.76,,
121385.05,24.43222222,,,1585.53,990.2138983,,,55985.19,,
122536.31,355.0911111,,,3600,1320.838479,,,55985.184,,
124488.52,12.97499999,,,6000,2126.327426,,,0.006,,
125944.07,26.87444444,,,3500,1017.510108,,,1.07E-07,,
129512.97,36.22222222,,,4000,3458.064833,,,1.07E-05,,
129952.83,41.205,,,10000,516.0634721,,,,,
131070.39,38.34055556,,,2000,1218.168726,,,,,
132520.88,58.22361111,,,3814.39,1578.688482,,,,,
133459.51,72.32277778,,,2257.87,1174.118968,,,,,
135030.2,106.8844444,,,1836.457,1875.903176,,,,,663.8898101
138885.55,69.04861111,,,1520,3467.460005,,,,,
140062.91,32.20722222,,,2100,917.2014913,,,,,
142178.09,43.68,,,2500,2815.151589,,,,,
144158.68,83.66333333,,,3375,1726.118739,,,,,
146689.32,64.14111111,,,2293.84,2294.867597,,,,,
2335.46,80.68944444,,,6000,3999.045104,,,,,
3539.45,88.11611111,,,1800,776.0678555,,,,,
3973.19,77.9325,,,1800,718.3420265,,,,,
4458.51,62.48416667,,,20000,497.5683627,,,,,
5783.34,63.93611111,,,2883.78,1413.070865,,,,,
,50.4225,,,0,747.074293,,,,,
6868.92,50.4225,,,2193.485,1045.122534,,,,,725.5594
10325.67,84.83444444,,,3687.8,3056.256401,,,,,
12214.42,66.91583333,,,3400,2329.312532,,,,,
14795.06,33.68861111,,,4656.43,1811.674163,,,,,
15453.37,38.27138889,,,2855.9299,764.0416766,,,,,
16349.07,26.60138889,,,4000,1265.204375,,,,,
17656.01,45.32194444,,,7200,1198.102444,,,,,
18991.96,53.88055555,,,4149.52,1217.285038,,,,,
20119.36,42.37416667,,,950,916.4121979,,,,,
20521.76,66.64361111,,,0,425.2646071,,,,,
